index:ID,name,code,:LABEL
100190,京汉股份,000615,上市公司
100191,海航投资,000616,上市公司
100192,中油资本,000617,上市公司
100193,海螺型材,000619,上市公司
100194,新华联,000620,上市公司
100195,恒立实业,000622,上市公司
100196,吉林敖东,000623,上市公司
100197,长安汽车,000625,上市公司
100198,远大控股,000626,上市公司
100199,天茂集团,000627,上市公司
100200,高新发展,000628,上市公司
100201,*ST钒钛,000629,上市公司
100202,铜陵有色,000630,上市公司
100203,顺发恒业,000631,上市公司
100204,三木集团,000632,上市公司
100205,合金投资,000633,上市公司
100206,英力特,000635,上市公司
100207,风华高科,000636,上市公司
100208,茂化实华,000637,上市公司
100209,万方发展,000638,上市公司
100210,西王食品,000639,上市公司
100211,仁和药业,000650,上市公司
100212,格力电器,000651,上市公司
100213,泰达股份,000652,上市公司
100214,*ST金岭,000655,上市公司
100215,金科股份,000656,上市公司
100216,中钨高新,000657,上市公司
100217,珠海中富,000659,上市公司
100218,长春高新,000661,上市公司
100219,天夏智慧,000662,上市公司
100220,永安林业,000663,上市公司
100221,湖北广电,000665,上市公司
100222,经纬纺机,000666,上市公司
100223,美好置业,000667,上市公司
100224,荣丰控股,000668,上市公司
100225,金鸿控股,000669,上市公司
100226,盈方微,000670,上市公司
100227,阳光城,000671,上市公司
100228,上峰水泥,000672,上市公司
100229,当代东方,000673,上市公司
100230,智度股份,000676,上市公司
100231,恒天海龙,000677,上市公司
100232,襄阳轴承,000678,上市公司
100233,大连友谊,000679,上市公司
100234,山推股份,000680,上市公司
100235,视觉中国,000681,上市公司
100236,东方电子,000682,上市公司
100237,远兴能源,000683,上市公司
100238,中山公用,000685,上市公司
100239,东北证券,000686,上市公司
100240,华讯方舟,000687,上市公司
100241,建新矿业,000688,上市公司
100242,宝新能源,000690,上市公司
100243,亚太实业,000691,上市公司
100244,惠天热电,000692,上市公司
100245,滨海能源,000695,上市公司
100246,炼石有色,000697,上市公司
100247,沈阳化工,000698,上市公司
100248,模塑科技,000700,上市公司
100249,厦门信达,000701,上市公司
100250,正虹科技,000702,上市公司
100251,恒逸石化,000703,上市公司
100252,浙江震元,000705,上市公司
100253,*ST双环,000707,上市公司
100254,大冶特钢,000708,上市公司
100255,河钢股份,000709,上市公司
100256,贝瑞基因,000710,上市公司
100257,京蓝科技,000711,上市公司
100258,锦龙股份,000712,上市公司
100259,丰乐种业,000713,上市公司
100260,中兴商业,000715,上市公司
100261,黑芝麻,000716,上市公司
100262,韶钢松山,000717,上市公司
100263,苏宁环球,000718,上市公司
100264,中原传媒,000719,上市公司
100265,*ST新能,000720,上市公司
100266,西安饮食,000721,上市公司
100267,湖南发展,000722,上市公司
100268,美锦能源,000723,上市公司
100269,京东方A,000725,上市公司
100270,鲁泰A,000726,上市公司
100271,华东科技,000727,上市公司
100272,国元证券,000728,上市公司
100273,燕京啤酒,000729,上市公司
100274,四川美丰,000731,上市公司
100275,泰禾集团,000732,上市公司
100276,振华科技,000733,上市公司
100277,罗牛山,000735,上市公司
100278,中交地产,000736,上市公司
100279,南风化工,000737,上市公司
100280,航发控制,000738,上市公司
100281,普洛药业,000739,上市公司
100282,国海证券,000750,上市公司
100283,锌业股份,000751,上市公司
100284,西藏发展,000752,上市公司
100285,漳州发展,000753,上市公司
100286,*ST三维,000755,上市公司
100287,新华制药,000756,上市公司
100288,浩物股份,000757,上市公司
100289,中色股份,000758,上市公司
100290,中百集团,000759,上市公司
100291,斯太尔,000760,上市公司
100292,本钢板材,000761,上市公司
100293,西藏矿业,000762,上市公司
100294,通化金马,000766,上市公司
100295,漳泽电力,000767,上市公司
100296,中航飞机,000768,上市公司
100297,广发证券,000776,上市公司
100298,中核科技,000777,上市公司
100299,新兴铸管,000778,上市公司
100300,三毛派神,000779,上市公司
100301,*ST平能,000780,上市公司
100302,美达股份,000782,上市公司
100303,长江证券,000783,上市公司
100304,武汉中商,000785,上市公司
100305,北新建材,000786,上市公司
100306,北大医药,000788,上市公司
100307,万年青,000789,上市公司
100308,泰合健康,000790,上市公司
100309,甘肃电投,000791,上市公司
100310,盐湖股份,000792,上市公司
100311,华闻传媒,000793,上市公司
100312,英洛华,000795,上市公司
100313,凯撒旅游,000796,上市公司
100314,中国武夷,000797,上市公司
100315,中水渔业,000798,上市公司
100316,酒鬼酒,000799,上市公司
100317,一汽轿车,000800,上市公司
100318,四川九洲,000801,上市公司
100319,北京文化,000802,上市公司
100320,*ST金宇,000803,上市公司
100321,银河生物,000806,上市公司
100322,云铝股份,000807,上市公司
100323,*ST新城,000809,上市公司
100324,创维数字,000810,上市公司
100325,冰轮环境,000811,上市公司
100326,陕西金叶,000812,上市公司
100327,德展健康,000813,上市公司
100328,美利云,000815,上市公司
100329,*ST慧业,000816,上市公司
100330,航锦科技,000818,上市公司
100331,岳阳兴长,000819,上市公司
100332,金城股份,000820,上市公司
